Name,Vision Backbone,Language Backbone,Datasets,Rylan Name
prism-reproduction-llava-v15+7b,CLIP ViT-L/14 @ 336px,Vicuna v1.5 7B,LLaVa v1.5 Instruct,Vicuna1.5-7B+CLIP+D1
prism-reproduction-llava-v15+13b,CLIP ViT-L/14 @ 336px,Vicuna v1.5 13B,LLaVa v1.5 Instruct,Vicuna1.5-13B+CLIP+D1
prism-clip-controlled+7b,CLIP ViT-L/14 @ 336px,Llama 2 Chat 7B,LLaVa v1.5 Instruct,Llama2Chat-7B+CLIP+D1
prism-clip-controlled+13b,CLIP ViT-L/14 @ 336px,Llama 2 Chat 13B,LLaVa v1.5 Instruct,Llama2Chat-13B+CLIP+D1
prism-clip+7b,CLIP ViT-L/14 @ 336px,Llama 2 Chat 7B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-7B+CLIP+D3
prism-clip+13b,CLIP ViT-L/14 @ 336px,Llama 2 Chat 13B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-13B+CLIP+D3
prism-siglip-controlled+7b,SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 7B,LLaVa v1.5 Instruct,Llama2Chat-7B+SigLIP+D1
prism-siglip-controlled+13b,SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 13B,LLaVa v1.5 Instruct,Llama2Chat-13B+SigLIP+D1
prism-siglip+7b,SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 7B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-7B+SigLIP+D3
prism-siglip+13b,SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 13B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-13B+SigLIP+D3
prism-dinosiglip-controlled+7b,DINOv2 ViT-L/14 + SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 7B,LLaVa v1.5 Instruct,Llama2Chat-7B+DINOv2-SigLIP+D1 
prism-dinosiglip-controlled+13b,DINOv2 ViT-L/14 + SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 13B,LLaVa v1.5 Instruct,Llama2Chat-13B+DINOv2-SigLIP+D1 
prism-dinosiglip+7b,DINOv2 ViT-L/14 + SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 7B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-7B+DINOv2-SigLIP+D3
prism-dinosiglip+13b,DINOv2 ViT-L/14 + SigLIP ViT-SO/14 @ 384px,Llama 2 Chat 13B,LLaVa v1.5 Instruct+ LVIS-Instruct-4V+LRV-Instruct ,Llama2Chat-13B+DINOv2-SigLIP+D3
